"Structure","P_Level","N_S","N_M","N_L"
"Small Skewed",77,0,0,0
"Uniform Small",78,0,0,0
"Uniform Medium",78,0,0,0
"Uniform Large",78,0,0,0
"Equal",78,0,0,0
"Small Skewed",78,0,0,0
"Uniform Small",79,0,0,0
"Uniform Medium",79,0,0,0
"Uniform Large",79,0,0,0
"Equal",79,0,0,0
"Small Skewed",79,0,0,0
"Uniform Small",80,0,0,0
"Uniform Medium",80,0,0,0
"Uniform Large",80,0,0,0
"Equal",80,0,0,0
"Small Skewed",80,0,0,0
"Uniform Small",81,0,0,0
"Uniform Medium",81,0,0,0
"Uniform Large",81,0,0,0
"Equal",81,0,0,0
"Small Skewed",81,0,0,0
"Uniform Small",82,0,0,0
"Uniform Medium",82,0,0,0
"Uniform Large",82,0,0,0
"Equal",82,0,0,0
"Small Skewed",82,0,0,0
"Uniform Small",83,0,0,0
"Uniform Medium",83,0,0,0
"Uniform Large",83,0,0,0
"Equal",83,0,0,0
"Small Skewed",83,0,0,0
"Uniform Small",84,0,0,0
"Uniform Medium",84,0,0,0
"Uniform Large",84,0,0,0
"Equal",84,0,0,0
"Small Skewed",84,0,0,0
"Uniform Small",85,0,0,0
"Uniform Medium",85,0,0,0
"Uniform Large",85,0,0,0
"Equal",85,0,0,0
"Small Skewed",85,0,0,0
"Uniform Small",86,0,0,0
"Uniform Medium",86,0,0,0
"Uniform Large",86,0,0,0
"Equal",86,0,0,0
"Small Skewed",86,0,0,0
"Uniform Small",87,0,0,0
"Uniform Medium",87,0,0,0
"Uniform Large",87,0,0,0
"Equal",87,0,0,0
"Small Skewed",87,0,0,0
"Uniform Small",88,0,0,0
"Uniform Medium",88,0,0,0
"Uniform Large",88,0,0,0
"Equal",88,0,0,0
"Small Skewed",88,0,0,0
"Uniform Small",89,0,0,0
"Uniform Medium",89,0,0,0
"Uniform Large",89,0,0,0
"Equal",89,0,0,0
"Small Skewed",89,0,0,0
"Uniform Small",90,0,0,0
"Uniform Medium",90,0,0,0
"Uniform Large",90,0,0,0
"Equal",90,0,0,0
"Small Skewed",90,0,0,0
"Uniform Small",91,0,0,0
"Uniform Medium",91,0,0,0
"Uniform Large",91,0,0,0
"Equal",91,0,0,0
"Small Skewed",91,0,0,0
"Uniform Small",92,0,0,0
"Uniform Medium",92,0,0,0
"Uniform Large",92,0,0,0
"Equal",92,0,0,0
"Small Skewed",92,0,0,0
"Uniform Small",93,0,0,0
"Uniform Medium",93,0,0,0
"Uniform Large",93,0,0,0
"Equal",93,0,0,0
"Small Skewed",93,0,0,0
